data.ecoli_state1_rep1	data.ecoli_state2_rep1	data.ecoli_state2_rep2	data.ecoli_state1_rep2
AAC73112	22571.346485441	22490.5646440153	25529.5541886804	16393.3501362165
AAC73113	73.6557019220666	99.8959086372154	87.0135183828761	131.681320857047
AAC73114	82.3089439615356	106.105184423908	86.9768017142697	170.606494064236
AAC73115	68.39812319901	97.2728910916102	114.846973860449	174.867825908478
AAC73116	51.3890661071927	51.7327041870093	48.8977290453878	51.3296594695429
AAC73117	53.2657950576361	32.8114003747914	56.3505551401885	45.3895355009777
AAC73118	28.4038538209531	20.0838398348378	5.92668940404596	40.658212594378
AAC73119	1652.51084662978	1108.72476187837	835.078188168333	837.151417842537
AAC73120	198.114108134322	141.08621874289	113.616261787575	140.254237059298
AAC73121	77.4733320565099	67.3154206609974	81.7951952729652	127.412971286824
AAC73122	3.26234950759506	8.07014575751083	11.9886589712031	13.8676753538727
AAC73124	0	0.805218965514395	0	8.82591429793045
AAC73125	1672.66357983736	133.615096714643	197.207185367057	393.045237095799
AAC73126	297.730036457263	68.7619544504386	76.2791452071633	258.530690941857
AAC73127	73.4924889073611	44.4565270613755	48.0096910895794	87.3562115414751
AAC73129	95.540239606106	57.7146134201129	56.1610901023164	103.726463626602
AAC73130	55.1503326168582	57.4135339761075	70.8488789729369	43.9873443077371
AAC73131	32.4978868235339	52.6903133589069	53.0645930017863	35.6680218790361
AAC73132	69.8554003443684	75.9836795371455	43.6809543934787	117.747322672916
AAC73133	103.491562862532	85.2677053378425	66.5364752098894	102.808217969892
AAC73134	1041.38856781731	1744.40545211206	2256.36689998055	1924.10843790586
AAC73135	17.9137941711693	27.8663277708375	16.136250584978	17.1756937455778
AAC73136	229.160565055622	211.072166145845	265.654013189317	250.816978245645
AAC73137	232.997958623685	265.304794104044	260.032294195009	278.979183331917
AAC73138	200.127841952659	233.152720073068	230.571599267867	235.829274625802
AAC73139	206.595552150693	283.501965301512	281.562189694487	237.7160560838
AAC73140	203.19120524669	236.977399693882	264.945696224638	228.397520521574
AAC73141	99.0527442405831	9.14498682262778	8.67049663785581	22.9938293551346
AAC73142	142.913920856576	62.3173610773915	96.2097545251798	93.8777365976638
AAC73143	21.1553378783332	22.8964834496024	26.8819295459633	25.0443613236011
AAC73144	17.5294764608048	18.2591439359954	27.1620326849773	12.0159876745372
AAC73145	27.9865336546214	1.18517077175279	0	27.5193978508039
AAC73146	6.408186532776	2.00322767030411	5.14664652804175	1.73345941923409
AAC73147	0	0	2.81855905414462	0
AAC73148	5.51572494067618	5.20131131479549	4.55551562906594	9.86701780762664
AAC73149	5.63508091890222	3.80620929620018	2.72875345013032	19.4351938102868
AAC73150	11.1189067269327	7.04665759722327	14.4812505249802	20.6952473192852
AAC73151	0.101207876673273	0.994338189860391	2.99793443071624	3.4130542802434
AAC73152	6.39778363256046	2.67139608329457	0	2.32675654188862
AAC73153	0	0	0.176690397864527	7.08189115046527
AAC73154	0	0.592585385876395	0.125378792424071	0
AAC73155	0	0	0	0
AAC73156	0	0.0570958182012293	0.906021930655697	0.576413918804524
AAC73157	10.6155817310633	3.91106354678421	6.89583358332392	3.61939906516008
AAC73158	11.8612877505248	8.14139758718345	7.6839288499895	13.537492607352
AAC73159	116.604224526246	207.963875050659	142.108469718704	88.2335394152409
AAC73160	97.6590714492777	171.124800589336	142.743755174805	133.068639530533
AAC73161	153.583496980061	547.42273320957	432.168564054248	476.359618898487
AAC73162	162.93376275188	287.292771654443	202.205297786861	262.562758588859
AAC73163	100.043815707899	135.227985056993	116.184347646306	127.06782833719
AAC73164	223.53037440523	286.870585302763	298.401525969289	206.574958214839
AAC73165	205.24634385478	273.592417391733	196.487241165689	259.998166695256
AAC73166	49.3691175484386	49.7310548898628	85.7968650350293	51.6435518190509
AAC73169	17.3709519235581	17.8193911329419	16.7270059539879	27.6179327791699
AAC73170	3.36840574158739	2.05581545407888	1.14046478493434	1.64518139325458
AAC73171	0	0	0	0
AAC73172	0	0	0	0
AAC73173	0	0	0	0
AAC73174	0	0	0	0
AAC73175	2855.73438771779	2878.10653642219	3427.2823357857	2653.7130219958
AAC73176	0	0	0	0
AAC73177	0	0	0.12412500449983	0
AAC73178	0	0	0	0
AAC73179	0	0	0	0
AAC73180	0	0	0	0
AAC73182	0	0	0	0
AAC73183	0	0	0	0.0545866637393225
AAC73184	0	0	0	0
AAC73185	0	0	0	0.0482497190689734
AAC73186	0	0	0	0
AAC73187	0	0	0	0
AAC73188	0	0.0432959064219654	0	0
AAC73189	0	0	0	0
AAC73191	5.06173433534143	0.349664621732363	1.31523183575979	1.25513176492005
AAC73192	431.125313052807	231.828291735634	334.516887127043	262.570950363431
AAC73193	167.450412893018	140.464246669559	197.628210011474	133.965774262968
AAC73194	172.294469781134	219.766615701886	362.054507507371	140.812739115237
AAC73195	65.6409532219344	61.7680737487628	63.0447864581873	56.9682523885823
AAC73196	70.6750122807831	97.2359664946717	106.967336491215	74.8070730797193
AAC73197	38.3298326075178	107.386630527418	99.7728607598637	80.322456136955
AAC73198	69.9074894484655	127.383816677731	93.6235552233477	164.678644827239
AAC73199	48.8290612875879	113.199280143501	112.75197453088	127.497505806311
AAC73200	68.7789654041404	118.744803705768	128.674088434379	113.057554425667
AAC73201	65.3696348702318	118.203722426339	122.126707213765	117.132840447049
AAC73202	71.6031395193288	112.705092665174	144.460952949476	98.2205550231675
AAC73203	125.004286333123	178.652815151646	274.252838409479	269.329403561414
AAC73204	134.304511490952	188.308092408282	262.18863655415	187.68013572754
AAC73205	138.631836678602	204.726032564916	223.488990060777	209.368837019503
AAC73206	369.50390256201	460.101526990921	434.472878998552	395.720964457502
AAC73207	1265.64564825463	1134.42332216889	913.432725421829	1061.04437250059
AAC73208	460.047003932058	501.976503917695	414.469580242912	414.585711100154
AAC73209	242.698584628193	272.523267991803	308.612755721903	290.121396516708
AAC73210	55.1572494067618	44.8764301811425	48.1144347339549	74.0026335571998
AAC73212	111.463608176164	175.286757142238	221.920462590606	263.468322032479
AAC73213	71.5440833874916	74.1646794429731	66.7388396287461	144.016883563562
AAC73214	60.9480813180012	34.4578184897712	37.9508634447758	60.3157537002851
AAC73215	114.79993386307	67.3447894531985	71.0861930532362	96.3418223889882
AAC73217	1.68753133496522	7.65208085240388	2.76582890461579	20.6005322285791
AAC73218	9.35358949730051	10.3109857142493	22.278846961508	28.7158934095345
AAC73219	0	5.35198169559944	7.62171080262117	26.1843607010624
AAC73220	133.576065215964	132.740020904819	127.872174446995	163.599321037904
AAC73221	54.7300025008792	46.6219495643151	55.2397371019113	116.88414560818
AAC73222	96.2984914175026	54.6617690943412	19.6038697583066	60.5426752717685
AAC73223	81.71500148982	53.0340216943938	37.675589601125	63.9925238780473
AAC73224	288.342152424827	339.681154259218	766.220298047602	621.398351540849
AAC73225	530.499729139189	1094.26068827027	1567.92382877084	954.717811974397
AAC73226	613.582399236349	1348.76754347679	2443.64356684884	1248.78841713321
AAC73227	724.981787633204	931.594100299853	1397.44535609063	1112.17239887889
AAC73228	7.18593224871976	8.06280792721667	7.00192333075967	22.6781927439401
AAC73229	322.97875557271	578.954783782009	479.542724467412	286.477233264404
AAC73230	504.300448030796	382.128686082393	574.078145811716	247.136157655806
AAC73231	145.369410170638	219.441009433147	257.131367080252	210.356296765103
AAC73232	90.3153789463118	173.981217463979	169.411236610316	193.781803357974
AAC73233	175.540794287763	227.59562567431	423.221400884964	280.005908839416
AAC73234	58.7256613324833	15.5634470890628	38.9301150476741	29.906950352089
AAC73235	17.4448466797774	45.0744954573756	42.2739871346281	68.5601351714615
AAC73236	266.33476630743	225.020094472516	206.081514320266	244.045757140756
AAC73237	321.68600596738	582.66525435283	646.770502170393	349.058486245419
AAC73238	29.2505431393972	78.0937362548107	51.8986431857987	59.5698723609745
AAC73239	59.2861283283936	82.3942360592619	21.7218757874703	97.829536420317
AAC73240	22.6279505320033	40.4486308917419	44.423685820992	59.2265301571649
AAC73241	29.6504179384871	30.2199684662663	42.4724816458306	38.2694502553988
AAC73242	582.897075583863	474.320472695106	377.128737076081	296.132650785824
AAC73243	26.7370062256258	22.2405255421609	31.3091429260766	32.5303926833383
AAC73244	343.716465053192	137.993540917613	127.388849239667	167.816367521019
AAC73245	136.721371605246	79.9576482861961	92.6657361179769	110.283883740928
AAC73246	2.13708421691142	1.88348586595134	3.85440803446842	6.04734044762631
AAC73247	0	0.989546198583956	0	4.13872138447658
AAC73248	5.65326837748932	1.52739759815241	0	6.16797000453315
AAC73249	0	6.27763066108038	0	0
AAC73250	0.573470801798136	1.28177712877802	0.804651889914867	5.17610011457575
AAC73251	5.80384608660936	2.52208770773935	0.580023385513227	6.08870870774592
AAC73252	0	5.79416821745808	1.37916671666478	5.84953384268295
AAC73253	57.1736842838369	142.184097602383	114.351382098269	67.7141116442546
AAC73254	100.284150279248	179.628916293066	174.520329652418	138.423206741457
AAC73255	32.5390657408679	26.8247945437047	24.1054356564888	11.5019638276233
AAC73256	1798.40443443896	699.061526387396	983.821044069245	732.219085438832
AAC73257	147.330610807108	61.5121232085813	78.0389879776162	70.1335941267021
AAC73258	40.4719053496787	29.7403790536716	31.2036469645407	25.0067571774696
AAC73259	16.1078132058219	24.7650355858151	18.1474910053806	30.5508279111862
AAC73260	70.4197426039068	71.3961760517023	79.1220472033402	50.0362065120876
AAC73261	33.5392994831775	144.457730359474	151.623467035178	21.073047932843
AAC73262	27.6779652430083	16.5171095709685	12.6788631205835	2.54191116554356
AAC73263	11.2187397839646	17.8664493841733	9.21534124316923	6.99949901857403
AAC73264	6.6939018558934	20.0846814305399	10.1197455897951	25.9163224318295
AAC73265	152.646137810505	72.7517379045214	67.1031115697053	85.3824089575372
AAC73266	44.195483125243	23.3333519083656	18.8579938809266	27.7733479285753
AAC73267	127.58116824345	534.289437208252	398.713733966529	132.609645571408
AAC73268	35.7593453169246	80.7913984092852	91.2141461638754	55.232969837996
AAC73269	33.275765810833	33.3944656686959	25.2493598897091	26.9303538834288
AAC73270	241.000244249464	210.258776275119	210.516007631712	214.873851410194
AAC73271	37.4687393234887	30.0151388474137	29.2861532815668	35.5609610245979
AAC73272	82.462895641642	140.028462958959	87.449154753953	92.5113041187933
AAC73273	34.7788109687668	41.6146024977946	18.4253547756122	56.5084854304055
AAC73274	494.61976128173	113.420842856742	108.609378937352	137.701682615408
AAC73275	36.9315196358	33.3755044685661	18.5665973117393	37.5267258306742
AAC73277	434.668592450851	238.68800629114	318.519123117334	202.936523993062
AAC73278	45.153339775659	32.7243883477434	23.4940567957721	35.6463638381817
AAC73279	238.232871908539	314.924905678775	428.980295723983	222.712176332373
AAC73280	2236.28149500122	2685.94628228244	2535.00080960324	2044.64717889941
AAC73281	1252.87125661416	1320.70850662105	2348.48464689122	1241.91662758243
AAC73282	157.938523410245	230.734036037556	127.21328212375	325.207492862978
AAC73283	446.478878688838	640.800921508409	716.030908310787	480.625227732914
AAC73284	62.6493348062751	62.7373062381696	55.5510266040225	59.4207155019425
AAC73285	148.065749710419	324.33512046115	337.777274688679	484.746369901719
AAC73286	177.674627826828	236.055100234762	217.537656107608	297.958607051539
AAC73287	215.308377789365	295.463073397971	217.426622714775	288.141319922513
AAC73288	222.456473974795	419.544512113071	312.769484346359	340.864667650028
AAC73289	1013.17087033218	1297.1997280055	1597.4599416327	1143.0261199944
AAC73290	299.915949877613	648.13537553456	422.908753195539	463.461973851212
AAC73291	476.496889214072	638.916599575504	718.047505022549	475.803048993694
AAC73292	433.046502572614	424.384404074319	385.543057455126	336.612696614982
AAC73293	132.25498325229	203.319432096396	221.013436583698	238.056807500284
AAC73294	136.403830315409	176.775360189891	306.125161700184	274.440042149947
AAC73295	61.1525266741571	149.660591253008	151.723010819474	142.920758056563
AAC73296	309.92320322153	459.638544841409	655.137828628373	384.993082443229
AAC73297	20.5530756423009	22.7255190229444	20.304736418915	30.3003276163821
AAC73298	33.4883299969625	72.5764369506348	55.0244865308527	27.8425750017187
AAC73299	41.9182783605361	46.4927679123973	45.3056266424381	41.0439853989153
AAC73300	450.141494557587	188.407965090278	173.775006299763	92.4845047838805
AAC73301	105.158380101003	64.0994441694432	59.8132572019317	66.3019142967456
AAC73302	134.464035260135	76.5916611245241	166.649311596995	149.821185545717
AAC73303	61.8201524338391	60.1038442116102	62.9143405160905	82.4526204148766
AAC73304	10.0672562284257	22.3512433272833	22.7733479330267	34.4590720914414
AAC73305	322.9790741676	259.41215380587	294.957788470708	262.527078859611
AAC73306	96.4815186887278	85.4846746654262	99.177712955037	90.2110498748541
AAC73307	133.006994630381	146.779914285196	212.229419458534	134.479062592151
AAC73308	291.817455954334	217.579501749133	318.362459240151	142.143672377196
AAC73309	75.3993210519846	109.911456106655	95.0059493901405	81.828654638764
AAC73310	13.3633448479462	59.1564081159901	46.4570756391648	45.9338876974539
AAC73311	218.4206014665	157.623240300586	147.700948750742	180.585042894299
AAC73312	26.8325768010706	26.0626617628258	20.0712773233768	25.9084565964108
AAC73313	21.4263028321829	13.4155231218738	15.4243571768172	26.5648407322578
AAC73314	156.988122138224	65.0841087657167	57.1823738678706	36.5483374132248
AAC73315	52.9565877212471	29.9699212356436	38.8688585519469	39.8002282656148
AAC73316	132.846422805878	267.349129590892	330.586261984548	386.946663693477
AAC73317	15.7052442048607	26.2523443551269	26.298631090375	43.3787006265262
AAC73318	74.8704730743742	50.8250229180659	77.9361807099897	120.844900955292
AAC73319	111.075233234784	75.836476090084	85.3737835828102	134.246801689574
AAC73320	70.1835853783567	82.1323344824684	68.1216849340302	31.9991679522123
AAC73321	17.5226632940695	24.1836942456176	12.7919218611179	16.4489402532563
AAC73323	102.364538120967	54.3707673423483	60.4001137967925	28.2383634856482
AAC73324	155.921664465857	92.5514077711015	116.181004211841	29.5658838544567
AAC73325	4.94805567899305	18.3199818054611	18.2219316068805	4.63511975143029
AAC73326	251.091681632556	169.6912696361	173.154381277263	101.573499219538
AAC73327	102.8235719242	140.429981251575	80.1524692734331	129.501596881765
AAC73328	203.134613031328	336.808364970496	211.36052168102	314.17736931969
AAC73329	164.010737744928	105.598715763174	195.703757094733	83.3119857544119
AAC73330	176.926362184388	211.414712834502	347.550012599525	140.827527262592
AAC73331	0.220138791657994	5.89363032165178	4.34723518063922	6.00453301132547
AAC73332	13.2894312648273	6.79289984441467	9.70601538946043	0
AAC73335	28.4524212541038	14.3078719720914	20.2335430532639	21.0170633661162
AAC73336	0	19.3146369002728	9.16615417844902	15.3077801021595
AAC73337	37.2606918760321	11.9678544531597	22.3425008099695	7.10718361885978
AAC73338	17.812586294496	2.2869778366789	6.73220363388911	0
AAC73341	282.508047591244	221.92047992614	212.683948107657	236.958417785531
AAC73342	127.386980772759	185.77551847225	192.393756974737	73.638319162075
AAC73343	74.6564406295851	66.1604519353915	76.5545839271206	65.5522956818045
AAC73345	5.0914859086291	41.6730564122869	20.2335430532639	10.7684600285754
AAC73346	133.756329811397	73.1660753662586	75.1419430225839	78.8508431346135
AAC73347	136.610129055982	85.393247205891	74.5394832217164	59.6265015296548
AAC73348	44.231590546097	46.9327625614105	39.2296310517983	73.1191730335369
AAC73349	22.9034811320886	22.0198235305248	32.3065080205038	72.0454229857019
AAC73350	10.9947096500298	7.72900653293069	21.4755960166373	17.1098864898476
AAC73351	92.3555610602505	67.368069593358	60.2006271824178	115.09689027209
AAC73352	42.6881903653396	84.6287580229689	31.1632990020851	119.461171465941
AAC73353	29.1281206035273	39.8737698184341	41.7786600511625	31.2022695462137
AAC73354	8.30784657213648	4.59124851144233	14.0315222478069	14.4203725600054
AAC73355	10.5054615886249	2.33690104040218	13.1850627186542	15.0400981145995
AAC73356	15.5487050060868	21.25778068958	10.2220591941037	39.5772577991408
AAC73357	8.47243598535805	15.5409430745803	6.83858515357557	3.48654290736518
AAC73359	22.5790079146173	22.8378269877388	34.3681718867691	30.6132228932326
AAC73362	201.34029194487	141.978870279481	169.400205132023	205.190311886169
AAC73363	0	7.55239857310054	2.68224147654806	7.07995303028178
AAC73364	39.0065350297883	22.3690325157802	20.6279683737128	28.6332577450466
AAC73365	10.4308168591619	9.31971788205224	3.61376595379253	7.72194000783289
AAC73367	16.9918670797422	25.4270469897721	28.4235253301996	15.6754722778645
