AAC73112	thrL
AAC73113	thrA
AAC73114	thrB
AAC73115	thrC
AAC73116	yaaX
AAC73117	yaaA
AAC73118	yaaJ
AAC73119	talB
AAC73120	mog
AAC73121	satP
AAC73122	yaaW
AAC73124	yaaI
AAC73125	dnaK
AAC73126	dnaJ
AAC73127	insL1
AAT48122	hokC
AAC73129	mokC
AAC73130	nhaA
AAC73131	nhaR
AAC73132	insB1
AAC73133	insA
AAC73134	rpsT
AAC73135	yaaY
AAC73136	ribF
AAC73137	ileS
AAC73138	lspA
AAC73139	fkpB
AAC73140	ispH
AAC73141	rihC
AAC73142	dapB
AAC73143	carA
AAC73144	carB
AAC73145	caiF
AAC73146	caiE
AAC73147	caiD
AAC73148	caiC
AAC73149	caiB
AAC73150	caiA
AAC73151	caiT
AAC73152	fixA
AAC73153	fixB
AAC73154	fixC
AAC73155	fixX
AAC73156	yaaU
AAC73157	kefF
AAC73158	kefC
AAC73159	folA
AAC73160	apaH
AAC73161	apaG
AAC73162	rsmA
AAC73163	pdxA
AAC73164	surA
AAC73165	lptD
AAC73166	djlA
AAC73169	rluA
AAC73170	rapA
AAC73171	polB
AAC73172	araD
AAC73173	araA
AAC73174	araB
AAC73175	araC
AAC73176	yabI
AAC73177	thiQ
AAC73178	thiP
AAC73179	thiB
AAC73180	sgrR
ACO59989	sgrT
AAT48123	setA
AAC73182	leuD
AAC73183	leuC
AAC73184	leuB
AAC73185	leuA
AAC73186	leuL
AAC73187	leuO
AAC73188	ilvI
AAC73189	ilvH
AAC73191	cra
AAC73192	mraZ
AAC73193	rsmH
AAC73194	ftsL
AAC73195	ftsI
AAC73196	murE
AAC73197	murF
AAC73198	mraY
AAC73199	murD
AAC73200	ftsW
AAC73201	murG
AAC73202	murC
AAC73203	ddlB
AAC73204	ftsQ
AAC73205	ftsA
AAC73206	ftsZ
AAC73207	lpxC
AAC73208	secM
AAC73209	secA
AAC73210	mutT
AAC73212	yacG
AAC73213	zapD
AAC73214	coaE
