target_id	length	eff_length	est_counts	tpm
AAC73112	66	3.13016	722	18721.5
AAC73113	2463	2364	4380	150.383
AAC73114	933	834	2002	194.836
AAC73115	1287	1188	2923	199.702
AAC73116	297	198	143	58.6194
AAC73117	777	678	433	51.8357
AAC73118	1431	1332	762	46.4325
AAC73119	954	855	10071	956.043
AAC73120	588	489	965	160.173
AAC73121	567	468	839	145.508
AAC73122	714	615	120	15.8371
AAC73124	405	306	38	10.0794
AAC73125	1917	1818	10054	448.865
AAC73126	1131	1032	3754	295.247
AAC73127	1113	1014	1246.33	99.7625
AAT48122	153	54	0	0
AAC73129	210	111	162	118.458
AAC73130	1167	1068	661	50.2344
AAC73131	906	807	405	40.7336
AAC73132	504	405	670.978	134.47
AAC73133	276	177	256.037	117.409
AAC73134	264	165	4467	2197.37
AAC73135	219	120	29	19.615
AAC73136	942	843	2975	286.438
AAC73137	2817	2718	10669	318.6
AAC73138	495	396	1314	269.322
AAC73139	450	351	1174	271.476
AAC73140	951	852	2738	260.834
AAC73141	915	816	264	26.2594
AAC73142	822	723	955	107.21
AAC73143	1149	1050	370	28.6011
AAC73144	3222	3123	528	13.7225
AAC73145	396	297	115	31.4277
AAC73146	591	492	12	1.97964
AAC73147	786	687	0	0
AAC73148	1554	1455	202	11.2683
AAC73149	1218	1119	306	22.1954
AAC73150	1143	1044	304	23.6344
AAC73151	1515	1416	68	3.89777
AAC73152	771	672	22	2.6572
AAC73153	942	843	84	8.08765
AAC73154	1287	1188	0	0
AAC73155	288	189	0	0
AAC73156	1332	1233	10	0.658276
AAC73157	531	432	22	4.13342
AAC73158	1863	1764	336	15.4601
AAC73159	480	381	473	100.764
AAC73160	843	744	1393	151.967
AAC73161	378	279	1870	544.012
AAC73162	822	723	2671	299.852
AAC73163	990	891	1593	145.114
AAC73164	1287	1188	3453	235.913
AAC73165	2355	2256	8253	296.923
AAC73166	816	717	521	58.9779
AAC73169	660	561	218	31.5402
AAC73170	2907	2808	65	1.87883
AAC73171	2352	2253	0	0
AAC73172	696	597	0	0
AAC73173	1503	1404	0	0
AAC73174	1701	1602	0	0
AAC73175	879	780	29124	3030.59
AAC73176	765	666	0	0
AAC73177	699	600	0	0
AAC73178	1611	1512	0	0
AAC73179	984	885	0	0
AAC73180	1656	1557	0	0
ACO59989	132	33.0202	0	0
AAT48123	1179	1080	0	0
AAC73182	606	507	0	0
AAC73183	1401	1302	1	0.062339
AAC73184	1092	993	0	0
AAC73185	1572	1473	1	0.0551021
AAC73186	87	5.29969	0	0
AAC73187	945	846	0	0
AAC73188	1725	1626	0	0
AAC73189	492	393	0	0
AAC73191	1005	906	16	1.43338
AAC73192	459	360	1330	299.861
AAC73193	942	843	1589	152.991
AAC73194	366	267	529	160.811
AAC73195	1767	1668	1337	65.0588
AAC73196	1488	1389	1462	85.4311
AAC73197	1359	1260	1424	91.7298
AAC73198	1083	984	2280	188.066
AAC73199	1317	1218	2185	145.605
AAC73200	1245	1146	1823	129.114
AAC73201	1068	969	1597	133.768
AAC73202	1476	1377	1903	112.17
AAC73203	921	822	3115	307.579
AAC73204	831	732	1933	214.334
AAC73205	1263	1164	3429	239.103
AAC73206	1152	1053	5863	451.921
AAC73207	918	819	12227	1211.73
AAC73208	513	414	2415	473.465
AAC73209	2706	2607	10642	331.324
AAC73210	390	291	303	84.5124
AAC73212	198	99	367	300.886
AAC73213	744	645	1307	164.47
AAC73214	621	522	443	68.8817
AAC73215	1044	945	1281	110.024
AAC73217	1203	1104	320	23.5262
AAC73218	1386	1287	520	32.7941
AAC73219	441	342	126	29.903
AAC73220	894	795	1830	186.834
AAC73221	552	453	745	133.484
AAC73222	855	756	644	69.1409
AAC73223	1374	1275	1148	73.0807
AAC73224	765	666	5823	709.649
AAC73225	2664	2565	34456	1090.31
AAC73226	1893	1794	31522	1426.14
AAC73227	1425	1326	20750	1270.12
AAC73228	1854	1755	560	25.8989
AAC73229	2598	2499	10073	327.162
AAC73230	363	264	918	282.234
AAC73231	795	696	2060	240.231
AAC73232	867	768	2094	221.303
AAC73233	348	249	981	319.772
AAC73234	1551	1452	611	34.1543
AAC73235	2391	2292	2211	78.297
AAC73236	537	438	1504	278.705
AAC73237	663	564	2770	398.631
AAC73238	927	828	694	68.0299
AAC73239	771	672	925	111.723
AAC73240	441	342	285	67.6378
AAC73241	1230	1131	609	43.7044
AAC73242	381	282	1175	338.189
AAC73243	903	804	368	37.1503
AAC73244	852	753	1778	191.649
AAC73245	795	696	1080	125.946
AAC73246	1239	1140	97	6.90618
AAC73247	597	498	29	4.7265
AAC73248	606	507	44	7.04394
AAC73249	570	471	0	0
AAC73250	2598	2499	182	5.9112
AAC73251	741	642	55	6.95342
AAC73252	585	486	40	6.68028
AAC73253	480	381	363	77.3308
AAC73254	1398	1299	2530	158.082
AAC73255	927	828	134	13.1355
AAC73256	456	357	3678	836.208
AAC73257	705	606	598	80.0939
AAC73258	531	432	152	28.5582
AAC73259	2430	2331	1002	34.8896
AAC73260	2535	2436	1715	57.1423
AAC73261	2244	2145	636	24.0658
AAC73262	798	699	25	2.90291
AAC73263	891	792	78	7.99356
AAC73264	1983	1884	687	29.5969
AAC73265	1281	1182	1420	97.5083
AAC73266	1422	1323	517	31.7177
AAC73267	345	246	459	151.443
AAC73268	624	525	408	63.0771
AAC73269	801	702	266	30.755
AAC73270	699	600	1814	245.39
AAC73271	1518	1419	710	40.6113
AAC73272	1425	1326	1726	105.65
AAC73273	1158	1059	842	64.5338
AAC73274	387	288	558	157.258
AAC73275	813	714	377	42.8562
AAC73277	825	726	2073	231.757
AAC73278	2673	2574	1291	40.7088
AAC73279	795	696	2181	254.342
AAC73280	726	627	18038	2335.03
AAC73281	852	753	13158	1418.29
AAC73282	726	627	2869	371.393
AAC73283	558	459	3104	548.883
AAC73284	1197	1098	918	67.8596
AAC73285	762	663	4522	553.59
AAC73286	858	759	3182	340.274
AAC73287	1353	1254	5084	329.063
AAC73288	2433	2334	11194	389.274
AAC73289	486	387	6224	1305.36
AAC73290	1026	927	6045	529.282
AAC73291	456	357	2390	543.376
AAC73292	789	690	3268	384.418
AAC73293	1149	1050	3517	271.865
AAC73294	597	498	1923	313.416
AAC73295	3483	3384	6805	163.218
AAC73296	960	861	4664	439.669
AAC73297	2142	2043	871	34.6036
AAC73298	390	291	114	31.7968
AAC73299	1299	1200	693	46.873
AAC73300	255	156	203	105.619
AAT48124	201	102	205	163.127
AAC73301	546	447	417	75.718
AAC73302	423	324	683	171.099
AAC73303	711	612	710	94.1625
AAC73304	825	726	352	39.3529
AAC73305	1719	1620	5984	299.811
AAC73306	708	609	773	103.023
AAC73307	405	306	579	153.578
AAC73308	816	717	1434	162.331
AAC73309	654	555	639	93.4499
AAC73310	1032	933	603	52.4574
AAC73311	576	477	1212	206.232
AAC73312	804	705	257	29.588
AAC73313	915	816	305	30.3376
AAC73314	801	702	361	41.7389
AAC73315	624	525	294	45.4526
AAC73316	1359	1260	6860	441.9
AAC73317	756	657	401	49.5393
AAC73318	723	624	1061	138.007
AAC73319	468	369	697	153.312
AAC73320	732	633	285	36.5437
AAC73321	786	687	159	18.785
ABP93434	480	381	144	30.6767
AAC73323	771	672	267	32.2487
AAC73324	474	375	156	33.7648
AAC73325	2445	2346	153	5.29339
AAC73326	579	480	686	115.999
AAC73327	768	669	1219	147.893
AAC73328	741	642	2838	358.797
AAC73329	279	180	211	95.1439
AAC73330	261	162	321	160.828
AAC73331	750	651	55	6.85729
AAC73332	498	399	0	0
AAC73335	1056	957	283	24.0019
AAC73336	294	195	42	17.4818
AAC73337	399	300	30	8.11654
AAC73338	453	354	0	0
AAC73341	1458	1359	4531	270.611
AAC73342	459	360	373	84.0964
AAC73343	1245	1146	1057	74.862
AAC73345	1056	957	145	12.2978
AAC73346	1104	1005	1115	90.0492
AAC73347	1254	1155	969	68.0946
AAC73348	342	243	250	83.5035
AAC73349	318	219	222	82.2772
ABD18634	222	123	56	36.9533
AAC73350	477	378	91	19.5398
AAC73351	459	360	583	131.443
AAC73352	240	141	237	136.427
AAC73353	468	369	162	35.6336
AAC73354	444	345	70	16.4683
AAC73355	822	723	153	17.1761
AAC73356	864	765	426	45.198
AAC73357	894	795	39	3.9817
AAC73359	1152	1053	453.565	34.9609
AAC73362	1017	918	2650.34	234.331
AAC73363	1404	1305	130	8.08544
AAC73364	933	834	336	32.6997
AAC73365	1047	948	103	8.8186
AAC73367	504	405	89.326	17.9017
AAC73368	276	177	216.832	99.4307
AAC73370	1155	1056	77	5.91831
AAC73371	909	810	2068	207.222
AAC73372	1968	1869	7920	343.943
AAC73373	1383	1284	569	35.9682
AAC73374	1611	1512	781	41.9247
AAC73375	759	660	301	37.0163
AAC73376	1005	906	256.865	23.0116
AAC73377	504	405	89.326	17.9017
AAC73378	276	177	216.832	99.4307
AAC73380	627	528	243	37.3545
AAC73381	699	600	166	22.4558
AAC73382	855	756	63	6.76378
AAC73383	441	342	506	120.087
AAC73384	1401	1302	291	18.1407
AAC73386	957	858	77	7.28407
AAC73387	2199	2100	156	6.02943
AAC73388	957	858	0	0
AAC73389	690	591	0	0
AAC73390	615	516	22	3.46054
AAC73391	330	231	45	15.8114
AAC73392	711	612	40	5.30493
AAC73393	1644	1545	217	11.3999
AAC73394	2526	2427	164	5.4846
AAC73395	669	570	6	0.854373
AAC73396	588	489	200	33.1965
AAC73397	591	492	24	3.95929
AAC73398	228	129	84	52.8519
ABD18636	141	42.0007	47	90.8264
AAC73399	264	165	50	24.5956
ACO59990	102	9.46048	0	0
AAC73401	300	201	89.2	36.0197
AAC73402	867	768	192.8	20.3759
AAC73404	594	495	36	5.90294
AAC73406	237	138	0	0
AAC73407	1326	1227	19	1.25684
AAC73408	855	756	0	0
AAC73409	720	621	250	32.6753
AAC73410	1428	1329	520	31.7577
AAC73411	696	597	273	37.1158
AAC73413	669	570	43	6.123
AAC73414	1671	1572	484	24.9899
AAC73415	1473	1374	281	16.5993
AAC73416	588	489	187	31.0387
AAC73417	2034	1935	1050	44.0432
AAC73418	1089	990	130	10.6581
AAC73419	933	834	510	49.6335
AAC73420	498	399	0	0
AAC73421	606	507	0	0
AAC73422	864	765	32	3.39515
AAC73423	1548	1449	10	0.560148
AAC73424	1419	1320	28	1.72169
AAC73426	951	852	0	0
AAC73427	1383	1284	0	0
AAC73428	1050	951	0	0
AAC73429	816	717	0	0
AAC73430	246	147	0	0
AAC73431	672	573	0	0
AAC73432	276	177	0	0
AAC73433	1587	1488	0	0
AAC73434	891	792	0	0
AAC73436	1170	1071	0	0
AAC73437	1452	1353	0	0
AAC73438	1887	1788	0	0
AAC73439	1260	1161	0	0
AAC73440	1284	1185	0	0
AAC73441	900	801	0	0
AAC73442	660	561	0	0
AAC73443	471	372	0	0
AAC73444	1155	1056	2	0.153722
AAC73445	612	513	10	1.58217
AAC73446	1254	1155	18	1.26492
AAC73447	3075	2976	101	2.7546
AAC73448	1083	984	9375	773.298
AAC73449	834	735	55	6.0736
AAC73450	1665	1566	25	1.29574
AAC73451	945	846	0	0
AAC73452	867	768	14	1.47958
AAC73453	810	711	14	1.59819
AAC73454	951	852	0	0
AAC73455	1014	915	0	0
AAC73456	1212	1113	55	4.01087
AAC73457	540	441	436	80.2451
AAC73458	834	735	779	86.0243
AAC73459	1110	1011	2047	164.338
AAC73460	276	177	658	301.733
